n1,n2
1033,35
103482,35
103515,35
1050679,35
1103960,35
1103985,35
1109199,35
1112911,35
1113438,35
1113831,35
1114331,35
1117476,35
1119505,35
1119708,35
1120431,35
1123756,35
1125386,35
1127430,35
1127913,35
1128204,35
1128227,35
1128314,35
1128453,35
1128945,35
1128959,35
1128985,35
1129018,35
1129027,35
1129573,35
1129683,35
1129778,35
1130847,35
1130856,35
1131116,35
1131360,35
1131557,35
1131752,35
1133196,35
1133338,35
1136814,35
1137466,35
1152421,35
1152508,35
1153065,35
1153280,35
1153577,35
1153853,35
1153943,35
1154176,35
1154459,35
116552,35
12576,35
128540,35
132806,35
135130,35
141342,35
141347,35
148170,35
15670,35
1688,35
175291,35
178727,35
18582,35
190697,35
190706,35
1956,35
197054,35
198443,35
198653,35
206371,35
210871,35
229635,35
231249,35
248425,35
249421,35
254923,35
259701,35
259702,35
263279,35
263498,35
265203,35
273152,35
27510,35
28290,35
286500,35
287787,35
28851,35
289779,35
289780,35
289781,35
307015,35
335733,35
33904,35
33907,35
35061,35
38205,35
387795,35
415693,35
41714,35
427606,35
44368,35
45599,35
46079,35
46431,35
486840,35
48766,35
503883,35
503893,35
513189,35
54129,35
54131,35
56119,35
561238,35
568857,35
573964,35
573978,35
574009,35
574264,35
574462,35
575077,35
575292,35
575331,35
576725,35
576795,35
577227,35
578780,35
579008,35
592973,35
593091,35
593105,35
593240,35
593260,35
593813,35
594047,35
594543,35
594649,35
594900,35
608326,35
634902,35
634904,35
634938,35
634975,35
640617,35
646809,35
646837,35
647408,35
647447,35
66556,35
66563,35
66805,35
69284,35
69296,35
694759,35
735303,35
78511,35
787016,35
801170,35
81722,35
82098,35
84021,35
85352,35
86359,35
8865,35
887,35
97645,35
98698,35
1109017,40
1114442,40
116552,40
1103315,114
1105394,114
1106112,114
1106172,114
1106406,114
1107455,114
1111052,114
1114125,114
1117942,114
1118245,114
1118332,114
1120170,114
1126029,114
124064,114
128,114
130,114
136665,114
191404,114
193742,114
23258,114
28227,114
28287,114
28350,114
28387,114
28471,114
28485,114
341188,114
38480,114
39403,114
434,114
55968,114
58540,114
6155,114
6170,114
6196,114
6220,114
64484,114
7432,114
755217,114
8213,114
91975,114
976334,114
1109581,117
149669,117
17476,117
189708,117
206259,117
28202,117
28278,117
28387,117
28471,117
32872,117
33013,117
341188,117
38480,117
39403,117
6170,117
6214,117
75674,117
1114125,128
20526,128
39403,128
91975,128
13960,130
345340,130
39403,130
1118092,288
36167,288
1135125,424
218666,424
47684,424
267003,434
58454,463
1102364,504
1112650,504
506,504
89416,504
1102364,506
1106546,506
89416,506
10796,887
1105033,887
1111304,887
1112911,887
1113614,887
114308,887
12576,887
134128,887
161221,887
170798,887
17476,887
19045,887
20972,887
265203,887
28456,887
299195,887
299197,887
334153,887
35490,887
38205,887
595056,887
6151,887
6213,887
6215,887
64519,887
87363,887
976334,887
1103979,906
1105344,906
1114352,906
1136397,906
1140040,906
34355,906
910,906
1104379,910
1105344,910
1105530,910
1108834,910
1110520,910
1114118,910
1116569,910
1118848,910
1120858,910
1122460,910
1126044,910
1129111,910
1135137,910
1140040,910
1152194,910
12439,910
12946,910
131042,910
13136,910
160705,910
227286,910
242637,910
28278,910
31043,910
340075,910
340078,910
34355,910
35905,910
42847,910
436796,910
48550,910
5462,910
576257,910
58552,910
5869,910
636511,910
67292,910
675649,910
684372,910
755217,910
94953,910
1107010,936
1111899,936
129558,936
1956,936
207395,936
3084,936
3828,936
38845,936
20180,940
28265,940
3828,940
129558,941
20180,941
28265,941
3828,941
940,941
1152896,943
3828,943
91852,943
1034,1026
1102550,1026
1105231,1026
1129798,1026
1153945,1026
1034,1033
1107062,1033
1153945,1034
1034,1035
1107062,1035
1110515,1035
1154525,1213
409725,1213
8766,1213
102938,1237
1102400,1237
1106112,1237
143676,1237
1102400,1246
1104007,1246
42207,1246
57764,1246
6125,1246
1102625,1272
1108167,1272
1120962,1272
112378,1272
1123867,1272
1128256,1272
1129208,1272
1135125,1272
1135358,1272
157805,1272
18615,1272
192734,1272
20593,1272
254923,1272
27230,1272
284414,1272
30895,1272
30901,1272
444240,1272
520471,1272
52835,1272
552469,1272
560936,1272
591016,1272
636098,1272
65653,1272
6917,1272
6923,1272
85452,1272
85688,1272
93923,1272
97892,1272
1031453,1365
1102407,1365
1105062,1365
1106287,1365
1108050,1365
1110494,1365
1110998,1365
1113995,1365
1114153,1365
1114352,1365
1114388,1365
1114605,1365
1116347,1365
1116594,1365
1117653,1365
1119140,1365
1120211,1365
1120866,1365
1128839,1365
1129443,1365
1130600,1365
1131647,1365
1131745,1365
1131748,1365
1132922,1365
1132968,1365
1135137,1365
1135368,1365
1136422,1365
1136442,1365
1152143,1365
1152821,1365
1154169,1365
120084,1365
139865,1365
157401,1365
161221,1365
171225,1365
184918,1365
188318,1365
188471,1365
22835,1365
23448,1365
23502,1365
23507,1365
237521,1365
26850,1365
330148,1365
340075,1365
340299,1365
39904,1365
436796,1365
49482,1365
560936,1365
562123,1365
628500,1365
648232,1365
649731,1365
69392,1365
7276,1365
7297,1365
77758,1365
782486,1365
83826,1365
85299,1365
853150,1365
90888,1365
93555,1365
948299,1365
948846,1365
949318,1365
949511,1365
950052,1365
950305,1365
1102567,1481
1106052,1481
1108267,1481
1111614,1481
1113934,1481
1114864,1481
1117184,1481
1119295,1481
1120563,1481
1153891,1481
13960,1481
200480,1481
399173,1481
4878,1481
521207,1481
521269,1481
1103985,1688
1131360,1688
1133338,1688
1134022,1688
1136814,1688
1153065,1688
152483,1688
1694,1688
39474,1688
44368,1688
576725,1688
647413,1688
69284,1688
694759,1688
84021,1688
39474,1694
1115291,1717
1116336,1717
1135108,1717
50381,1717
733167,1717
35797,1786
1114502,1817
1108389,1919
1109581,1919
129042,1949
3101,1949
3095,1951
1107215,1952
1111899,1952
1949,1952
3101,1952
1153166,1953
1153724,1953
1153728,1953
1949,1953
110163,1955
1110390,1955
1125386,1955
1956,1955
101143,1956
1111899,1956
1118302,1956
1153101,1956
1153150,1956
1817,1956
263486,1956
83449,1956
101143,1959
1152896,1959
1153728,1959
170798,1959
207395,1959
3097,1959
310530,1959
38839,1959
73327,1959
82664,1959
1102442,1997
1108551,1997
1109439,1997
1109542,1997
129897,1997
154982,1997
3233,1997
49811,1997
7032,1997
1102442,1999
1123068,1999
1131471,1999
39126,1999
6771,1999
10186,2354
1107140,2354
1113852,2354
1130539,2354
154134,2354
40151,2354
74749,2354
1000012,2440
1061127,2440
1106388,2440
1107095,2440
1108551,2440
1110426,2440
1114512,2440
1117786,2440
1119295,2440
1120650,2440
1127619,2440
1153254,2440
136766,2440
136768,2440
151430,2440
18615,2440
212777,2440
23546,2440
27230,2440
49811,2440
49843,2440
49844,2440
49847,2440
582343,2440
591016,2440
591017,2440
63931,2440
6917,2440
6923,2440
72908,2440
102406,2653
107177,2653
1104055,2653
1116268,2653
1116842,2653
1118764,2653
1119751,2653
1152075,2653
167656,2653
175291,2653
197783,2653
28641,2653
321861,2653
350362,2653
4660,2653
59045,2653
6125,2653
65650,2653
1104851,2654
1106630,2654
1107861,2654
1110438,2654
1116842,2654
1121867,2654
1123926,2654
1152075,2654
197783,2654
211906,2654
27250,2654
463825,2654
52784,2654
1115375,2658
1130676,2658
1130808,2658
1131607,2658
1132948,2658
1135899,2658
1140230,2658
230884,2658
236759,2658
282700,2658
395540,2658
578347,2658
696342,2658
696345,2658
696346,2658
751408,2658
99023,2658
1119671,2663
1105574,2665
1113035,2665
1115375,2665
1122704,2665
1130676,2665
1130808,2665
1131607,2665
1132486,2665
1132948,2665
1132968,2665
205192,2665
230884,2665
237489,2665
2658,2665
395540,2665
43639,2665
578306,2665
578309,2665
578337,2665
578347,2665
582139,2665
630817,2665
631052,2665
696345,2665
696346,2665
751408,2665
763009,2665
99023,2665
1108169,2695
1120197,2695
2698,2695
342802,2695
1108050,2696
1108169,2696
1113035,2696
1114192,2696
1118083,2696
1120858,2696
1123239,2696
1133004,2696
160705,2696
256106,2696
2695,2696
2698,2696
342802,2696
469504,2696
5348,2696
5869,2696
99025,2696
1114192,2698
256106,2698
2695,2698
342802,2698
99025,2698
1120777,2702
12330,2702
395553,2702
72056,2702
1107171,3084
255233,3084
33303,3084
15889,3085
221302,3085
30973,3085
395725,3085
5062,3085
83449,3085
110162,3095
110163,3095
218682,3095
83449,3095
1106236,3097
129045,3097
1949,3097
1952,3097
3101,3097
110162,3101
110163,3101
110164,3101
70441,3101
103529,3112
110163,3112
110164,3112
1152564,3112
1949,3112
470511,3112
77826,3112
77829,3112
1110000,3187
129896,3187
129897,3187
280876,3187
5086,3187
105865,3191
1106789,3191
1127530,3191
1131267,3191
129896,3191
129897,3191
137873,3191
162664,3191
308920,3191
310742,3191
3192,3191
423463,3191
5086,3191
561364,3191
642827,3191
105865,3192
129896,3192
310742,3192
3191,3192
423463,3192
5086,3192
561364,3192
642827,3192
1000012,3217
167670,3217
238099,3217
65653,3217
86840,3217
1106492,3218
1110426,3218
1119987,3218
1120169,3218
1152290,3218
1153264,3218
187354,3218
277263,3218
35070,3218
417017,3218
49843,3218
6639,3218
66782,3218
6767,3218
6941,3218
1115677,3220
1125992,3220
1128430,3220
1130634,3220
1131728,3220
1132706,3220
120039,3220
145215,3220
167670,3220
346243,3220
36620,3220
39124,3220
40922,3220
429805,3220
654177,3220
69397,3220
8832,3220
1103737,3222
1114222,3222
1131137,3222
1132157,3222
167656,3222
964248,3222
1132157,3223
1153101,3223
1153150,3223
167656,3223
167670,3223
100197,3229
1050679,3229
1103960,3229
1105718,3229
1106568,3229
1108209,3229
1108834,3229
1109392,3229
1112767,3229
1125082,3229
1125895,3229
1126037,3229
1128839,3229
1128868,3229
1130915,3229
1130927,3229
1130931,3229
1131647,3229
1131748,3229
1132418,3229
1140289,3229
1152277,3229
1152673,3229
1154169,3229
1154251,3229
118559,3229
133550,3229
157401,3229
16461,3229
189577,3229
23502,3229
25181,3229
25184,3229
27174,3229
27631,3229
31769,3229
33412,3229
35343,3229
35863,3229
35922,3229
390922,3229
396412,3229
444191,3229
447250,3229
48550,3229
49482,3229
52515,3229
62347,3229
641976,3229
654326,3229
7022,3229
72101,3229
82087,3229
82098,3229
83826,3229
90888,3229
919885,3229
92065,3229
948299,3229
949511,3229
96335,3229
104840,3231
1102761,3231
1106330,3231
1106370,3231
1107067,3231
1113926,3231
1115471,3231
1125386,3231
1128536,3231
1131471,3231
1153169,3231
167670,3231
180399,3231
200480,3231
20850,3231
25184,3231
259126,3231
263279,3231
3237,3231
328370,3231
39124,3231
39126,3231
46431,3231
49660,3231
6334,3231
63477,3231
63486,3231
636098,3231
66594,3231
68463,3231
8699,3231
8821,3231
1106330,3232
1123068,3232
1128536,3232
20850,3232
20942,3232
521251,3232
66594,3232
1103737,3233
1114222,3233
1125467,3233
192850,3233
1997,3233
272720,3233
509379,3233
66594,3233
976284,3233
1114222,3235
65653,3235
1125467,3236
167670,3236
3233,3236
3237,3236
601561,3236
964248,3237
1110531,3240
1131137,3240
3233,3240
36620,3240
39130,3240
964248,3240
1103610,3243
1104055,3243
1110947,3243
1113739,3243
307336,3243
30895,3243
30901,3243
31932,3243
350362,3243
368431,3243
854434,3243
96335,3243
1152896,3828
1956,3828
207395,3828
310530,3828
5075,3932
1105428,4274
1114664,4274
1119078,4274
105899,4329
1110768,4329
1111304,4329
28254,4329
395547,4329
46468,4329
510718,4329
1103676,4330
1103737,4330
1104449,4330
1108834,4330
11093,4330
1109439,4330
1110438,4330
1112929,4330
1114352,4330
1132459,4330
1132461,4330
1135108,4330
1136393,4330
1136397,4330
1152917,4330
118436,4330
119956,4330
120013,4330
12946,4330
137873,4330
151708,4330
168410,4330
1717,4330
299197,4330
32688,4330
328370,4330
35797,4330
37884,4330
390889,4330
395553,4330
428610,4330
4329,4330
46468,4330
684986,4330
69392,4330
69418,4330
753265,4330
949217,4330
1104300,4335
1121254,4335
1136310,4335
1136397,4335
1140547,4335
116790,4335
1717,4335
239800,4335
32698,4335
35922,4335
390889,4335
46468,4335
62274,4335
62417,4335
755082,4335
95718,4335
1102548,4553
1031453,4584
1102550,4584
1113739,4584
1116347,4584
1120020,4584
1128839,4584
1130567,4584
1130600,4584
124064,4584
1272,4584
128,4584
132806,4584
13885,4584
13917,4584
168410,4584
188471,4584
193742,4584
28278,4584
28287,4584
293285,4584
36167,4584
6151,4584
6155,4584
6184,4584
6196,4584
6210,4584
6213,4584
6214,4584
628500,4584
628815,4584
782486,4584
976334,4584
164,4637
1105887,4649
1127851,4649
135765,4649
135766,4649
411092,4649
434,4649
449841,4649
6917,4649
8703,4649
18615,4660
429781,4660
5038,4660
582343,4660
102884,4804
1108175,4804
1112574,4804
1153262,4804
12182,4804
12210,4804
157761,4804
164,4804
25805,4804
45189,4804
68505,4804
77515,4804
976284,4804
989397,4804
1102567,4878
7867,4983
1104851,5055
1107861,5055
1119751,5055
1121867,5055
129897,5055
167656,5055
1120563,5062
28026,5062
5064,5062
5069,5062
521207,5062
1120563,5064
1121176,5064
1129106,5064
272345,5064
28026,5064
385067,5064
5069,5064
1120563,5069
385067,5069
5064,5069
1120563,5075
5064,5075
5069,5075
109323,5086
1105698,5086
129896,5086
137849,5086
3187,5086
3191,5086
354004,5086
423463,5086
440815,5086
561364,5086
79809,5086
1152714,5194
133550,5194
133563,5194
133566,5194
140569,5194
1108050,5348
1114192,5348
1118083,5348
1120197,5348
1120858,5348
1123239,5348
1132968,5348
139547,5348
256106,5348
2695,5348
2696,5348
342802,5348
75695,5348
911198,5348
99025,5348
1105574,5454
1128425,5454
1130680,5454
1129111,5462
119956,5462
227286,5462
910,5462
1022969,5600
1117833,5600
255233,5600
33303,5600
77826,5600
1110520,5869
910,5869
1102625,5959
152226,5959
545647,5959
582511,5959
1102625,5966
1106388,5966
1107861,5966
1110390,5966
1114502,5966
68463,5966
86840,5966
8699,5966
1107572,6125
12211,6125
27612,6125
28641,6125
385251,6125
1132461,6130
1154123,6130
1154124,6130
671269,6130
675847,6130
1106547,6151
1107355,6151
1130567,6151
1385,6151
193742,6151
6152,6151
6155,6151
6213,6151
6214,6151
299195,6152
1126029,6155
1106966,6163
1111052,6163
1113739,6163
130,6163
134128,6163
20534,6163
28202,6163
96847,6163
1106406,6169
1114629,6169
1130567,6169
170338,6169
20526,6169
7419,6169
10981,6184
1105718,6184
1120731,6184
1136422,6184
13686,6184
27631,6184
3229,6184
399339,6184
1120731,6196
1153056,6196
28387,6196
58540,6196
81350,6196
976334,6196
1108329,6209
118259,6209
118260,6209
168410,6209
181782,6209
212930,6209
28485,6209
38480,6209
8213,6209
8875,6209
95579,6209
1120731,6210
10796,6213
1103315,6213
1105764,6213
1106406,6213
1106547,6213
1106966,6213
1107355,6213
1107455,6213
1108329,6213
1109957,6213
1111052,6213
1111230,6213
1111304,6213
1113182,6213
1113459,6213
1113614,6213
1116347,6213
1117760,6213
1117942,6213
1120020,6213
1122425,6213
1123553,6213
1128267,6213
1129096,6213
1129243,6213
1130567,6213
124064,6213
12576,6213
128,6213
13193,6213
134128,6213
1385,6213
13960,6213
153598,6213
161221,6213
17208,6213
193742,6213
195361,6213
20526,6213
20534,6213
218410,6213
23774,6213
241133,6213
28202,6213
28227,6213
28278,6213
28350,6213
28471,6213
28485,6213
293271,6213
299195,6213
299197,6213
353541,6213
35863,6213
38480,6213
399339,6213
434,6213
55968,6213
58540,6213
595056,6213
6151,6213
6155,6213
6163,6213
6184,6213
6210,6213
6214,6213
6215,6213
6220,6213
6224,6213
628667,6213
628668,6213
628815,6213
672064,6213
7419,6213
755217,6213
91975,6213
1105764,6214
1106172,6214
1109199,6214
1115886,6214
1126029,6214
1130600,6214
1152740,6214
124064,6214
13960,6214
149669,6214
188471,6214
23258,6214
27631,6214
28278,6214
28447,6214
345340,6214
38480,6214
399339,6214
6155,6214
6184,6214
6196,6214
6215,6214
6224,6214
628500,6214
6378,6214
93320,6214
95589,6214
97892,6214
1120170,6215
6224,6215
1113739,6216
1116347,6216
1123553,6216
230300,6216
96847,6216
976334,6216
134128,6220
6163,6220
6224,6220
28387,6224
345340,6224
6163,6224
10793,6238
1123991,6238
1130356,6238
84459,6238
1114864,6311
1115677,6311
235776,6311
69397,6311
1108656,6318
1119295,6318
1121057,6318
20833,6318
1107067,6334
1116268,6334
1152307,6334
1152448,6334
1152975,6334
1153169,6334
1153703,6334
200480,6334
20850,6334
3231,6334
444240,6334
46431,6334
68463,6334
1125992,6343
141868,6343
200480,6343
359067,6343
521252,6343
1112665,6344
200480,6344
1106103,6346
1112075,6346
1122425,6378
1129208,6378
28473,6378
1103162,6385
1129243,6385
17476,6385
28473,6385
55968,6385
6378,6385
682666,6385
892139,6385
1102646,6539
116084,6639
178209,6639
568045,6639
591017,6639
1130637,6741
1153160,6741
348437,6741
411092,6741
417017,6741
49895,6741
51909,6741
83725,6741
9708,6741
1106103,6767
1114864,6767
1120444,6767
235776,6767
6334,6767
6925,6767
69397,6767
65653,6771
1111240,6775
350319,6775
1123068,6782
463825,6782
100961,6784
1116629,6784
350319,6784
35797,6784
560936,6784
562123,6784
60170,6784
6775,6784
1106789,6786
714975,6786
1117348,6814
1125469,6814
158172,6814
293974,6814
300071,6814
315266,6814
37884,6814
390896,6814
445938,6814
1105531,6818
1121254,6818
1128425,6818
293974,6818
37884,6818
390896,6818
50336,6818
50337,6818
1123188,6898
124224,6898
12631,6898
431206,6898
6910,6898
78994,6898
1117219,6910
1123188,6910
1132083,6910
1152150,6910
1154103,6910
169279,6910
263553,6910
431206,6910
662416,6910
1105011,6913
1116336,6913
1131230,6913
1135108,6913
1152917,6913
1717,6913
428610,6913
431206,6913
4330,6913
703953,6913
1153811,6917
449841,6917
1155073,6923
187354,6923
20857,6923
308003,6923
6941,6923
93923,6923
1114526,6925
1118658,6925
372862,6925
57922,6925
57948,6925
1000012,6935
101660,6935
1106388,6935
1115670,6935
1120650,6935
18615,6935
238099,6935
308003,6935
1116922,6939
372862,6941
1109439,7032
1110438,7032
137873,7032
323128,7032
52847,7032
1120880,7041
1135082,7047
14549,7047
212930,7047
2663,7047
54844,7047
1136446,7272
7276,7272
