n1,n2
1,3800
1,254
1,148
1,4876
1,1741
1,1346
1,1564
1,4653
1,2600
1,2015
1,259
1,4375
2,4847
2,2665
2,4282
2,832
2,3102
2,3858
2,496
2,2285
2,473
2,415
2,2962
2,584
2,4125
2,688
2,3784
2,2256
2,3157
2,2087
2,3576
3,956
3,1044
3,4766
3,4031
3,3642
3,3045
3,1142
3,2050
4,4047
4,3130
4,2391
4,676
4,2910
4,1176
4,684
4,3752
5,2978
5,2009
5,2103
5,4075
5,2475
5,3593
5,1646
5,2796
5,634
6,4969
6,419
6,4891
6,154
6,4943
7,1077
7,3089
7,3173
7,2468
7,2856
7,2080
8,4220
8,1247
8,4327
8,1997
8,4901
8,1042
8,4227
8,3639
8,1462
8,3234
8,4445
8,2653
8,3924
9,2143
9,3762
9,1406
9,4067
9,1442
9,3429
9,331
9,4526
9,662
9,4675
9,461
10,1787
10,336
10,2941
10,804
10,2175
10,3015
10,4212
10,1073
10,1668
10,3109
10,3520
11,3863
11,2135
11,971
11,1516
11,3576
11,2925
11,2920
11,3494
11,2388
11,3732
12,2506
12,168
12,884
12,4402
12,4614
12,4278
12,2456
12,3512
12,328
12,2527
13,3938
13,1743
13,4760
13,903
13,3621
13,2993
13,4396
13,738
13,4814
13,1642
13,2117
14,3033
14,4272
14,2509
14,1540
14,978
14,739
14,2795
14,532
14,3760
14,2638
14,3740
15,1555
15,838
15,4882
15,1165
15,4411
15,4580
15,4330
15,4958
15,3023
15,4105
15,3430
15,1796
16,497
16,87
16,4148
16,876
16,778
16,320
16,3157
16,410
16,757
17,3239
17,1061
17,647
17,3378
17,2432
17,3896
17,1912
17,3359
17,4689
17,4340
17,3344
17,3031
18,3313
19,4635
19,1589
19,3220
19,878
19,4985
19,3616
19,80
19,642
19,4999
19,4680
19,3198
20,304
20,1812
20,4211
20,4722
20,4170
20,702
20,1634
20,2959
20,3708
20,2162
20,1605
20,3772
21,4047
21,4418
21,4191
21,3435
21,1051
21,509
22,186
22,4541
22,2068
22,1129
22,1608
22,450
22,690
22,4255
22,1767
22,326
23,470
23,4789
23,2171
23,2267
23,4482
23,2195
23,3800
23,148
23,2938
23,2960
24,2457
24,992
24,3719
24,1938
24,1330
24,2082
24,3640
24,2227
24,3733
24,1930
24,694
24,1932
24,2294
25,3604
25,383
25,4510
25,1454
25,474
25,3507
25,4204
25,4498
25,3926
25,3219
25,66
25,1670
25,1909
25,3040
25,3217
26,4550
26,4436
26,4649
26,4501
26,1101
26,2674
26,4787
26,4815
26,590
26,171
26,600
26,2312
27,1551
27,4133
27,4979
27,3605
27,2801
27,4494
27,443
27,3222
27,3317
27,4132
27,4710
27,3333
27,2389
27,3848
27,2127
27,1097
28,1879
28,1459
28,823
28,4032
28,1475
28,613
28,499
28,4939
28,2529
28,1206
28,3150
28,4071
29,1243
29,2683
29,3773
29,3572
29,3331
29,2144
29,2294
29,1687
29,329
29,3240
29,835
29,2234
29,700
29,1976
29,4186
29,3858
29,4618
29,4782
30,2353
30,2280
30,3482
30,3830
30,2606
30,1004
30,249
30,3884
30,3012
30,967
31,3271
31,303
31,3978
31,3658
31,472
31,3310
31,2877
31,1405
31,2898
32,3340
32,1225
32,101
32,4344
32,1294
32,3343
32,4802
32,3432
32,3258
32,4823
32,2193
32,2371
33,4246
33,1133
33,1312
33,3982
33,3683
33,1850
34,1728
34,4575
34,2944
34,562
34,2627
34,4138
34,139
34,1006
34,3932
34,4520
34,3746
34,2792
34,1001
34,338
34,2210
35,572
35,105
35,2648
35,2563
35,3093
35,4533
35,969
35,3565
36,3823
36,4909
36,3976
36,4883
36,3918
36,4487
36,3011
36,132
36,4472
36,4237
36,75
37,4125
37,1014
37,3191
37,1303
37,215
37,828
37,2562
37,3132
37,4777
37,1419
37,4567
37,4955
37,2435
37,2108
37,2296
37,660
37,2228
37,297
37,4692
37,4982
38,3209
38,4191
38,3456
38,2991
38,4054
39,3748
39,3419
39,1850
39,2979
39,3736
39,149
39,3168
39,2113
39,4221
39,2017
39,205
39,3934
40,1388
40,1968
40,2325
40,3966
40,2992
40,4396
40,3669
40,1580
40,381
40,1440
40,1552
40,4264
40,2741
40,1192
40,4782
40,2522
40,1700
40,3233
40,828
41,238
41,3341
41,3375
41,1879
41,2377
41,1148
41,1645
41,3408
41,4572
41,4509
42,3645
42,143
42,2687
