n1,n2
GLYCINE,NMDAR
GLYCINE,NMDAR
GLYCINE,NMDAR
CAMKII,SYNAPSIN
CAMKII,SYNAPSIN
CAMKII,MAP2
CAMKII,MAP2
GLYT1,GLYCINE
GLYT1,GLYCINE
GLYT1,GLYCINE
CAMKII,AMPAR
CAMKII,AMPAR
CALCIUM,CALMODULIN
CASPASE3,ICAD
ICAD,CAD
CASPASE3,ICAD
ICAD,CAD
PDK1,S6K
GLUTAMATE,AMPAR
GIRK,POTASSIUM
PIP2,GIRK
GBETAGAMMA,GIRK
GBETAGAMMA,GIRK
SODIUM,GIRK
AMPAR,SODIUM
AMPAR,SODIUM
GABA,GABABR
GABAAR,GABARAP
GABAAR,GABARAP
TUBULIN,GABARAP
TRKA,SHC
TRKA,SHC
TRKA,SHC
GABAAR,GABARAP
GEPHYRIN,GABARAP
GEPHYRIN,TUBULIN
CALMODULIN,CAMKII
TRKA,GRIT
TRKA,CRK
TRKA,CRK
CRK,GRIT
JNK,AP1
CASPASE9,CASPASE6
CASPASE9,CASPASE6
CASPASE9,CASPASE3
CASPASE9,CASPASE7
ATF2,AP1
ATF2,CRE
ATF2,TRE
VRK1,ATF2
MGLUR1,GBETAGAMMA
MGLUR1,GALPHAQ
MGLUR5,GBETAGAMMA
MGLUR5,GBETAGAMMA
MGLUR5,GALPHAQ
MGLUR5,GALPHAQ
MGLUR5,DYNAMIN
HOMER,DYNAMIN
GLUTAMATE,NMDAR
GLYCINE,NMDAR
PSD95,SYNGAP
PSD95,SYNGAP
CALMODULIN,IQGAP
CALMODULIN,IQGAP
IQGAP,RAS
INTEGRIN,ILK
TCF,LEF1
LEF1,MITF
GSK3,MITF
NGF,TRKA
NGF,TRKA
NGF,TRKA
TRKA,PLCGAMMA
APS,GRB2
APS,VAV
LCK,VAV
LCK,SOS
GRB2,SOS
GRB2,SOS
SOS,RAS
SOS,RAS
SOS,RAS
IRS1,PI3K
PI3K,PIP3
PI3K,PIP2
PIP3,PDK1
PDK1,PKB
PKA,BAD
RSK,BAD
P1433,BAD
RIM,RABPHILIN
RIM,P1433
RIM,RAB3
RIM,RAB3
RIM,MUNC13
RIM,SYNAPTOTAGMIN
RIM,SNAP25
cAMPGEFII,RIM
cAMP,cAMPGEFII
BAD,BCLXL
BAD,BCLXL
CREB,ATF1
PKA,ATF1
PKA,CREB
PKA,CREB
MAPK,RSK
MEK1,MAPK
MEK1,MAPK
RAF1,MEK1
PLA2,AA
PLA2,AA
AA,PKC
AA,PKC
PIP3,PKB
